frame_count,1-h,1-s,1-v,condition,2-h,2-s,2-v,condition,3-h,3-s,3-v,conditon,4-h,4-s,4-v,condition,
273,0,255,255,sp,172,255,255,,170,255,255,,171,255,255,,
274,0,255,255,sp,168,255,255,,168,255,255,,170,255,255,,
275,0,255,255,sp,169,255,255,,168,255,255,,168,255,255,,
276,0,255,255,sp,168,255,255,,170,255,255,,169,255,255,,
277,0,255,255,sp,169,255,255,,170,255,255,,171,255,255,,
278,0,255,255,sp,169,255,255,,169,255,255,,169,255,255,,
279,0,255,255,sp,169,255,255,,169,255,255,,169,255,255,,
280,0,255,255,sp,169,255,255,,169,255,255,,170,255,255,,
281,0,255,255,sp,169,255,255,,169,255,255,,169,255,255,,
282,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
283,0,255,255,sp,169,255,255,,0,255,255,,170,255,255,,
284,0,255,255,sp,168,255,255,,170,255,255,,169,255,255,,
285,0,255,255,sp,168,255,255,,169,255,255,,170,255,255,,
286,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
287,0,255,255,sp,169,255,255,,170,255,255,,169,255,255,,
288,0,255,255,sp,169,255,255,,170,255,255,,170,255,255,,
289,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
290,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
291,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
292,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
293,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
294,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
295,0,255,255,sp,169,255,255,,171,255,255,,169,255,255,,
296,169,255,255,alive,169,255,255,,172,255,255,,169,255,255,,
297,169,255,255,,169,255,255,,170,255,255,,169,255,255,,
298,170,255,255,,169,255,255,,170,255,255,,169,255,255,,
299,169,255,255,,169,255,255,,170,255,255,,170,255,255,,
300,169,255,255,,169,255,255,,170,255,255,,170,255,255,,
301,169,255,255,,169,255,255,,170,255,255,,170,255,255,,
302,169,255,255,,169,255,255,,170,255,255,,169,255,255,,
303,169,255,255,,169,255,255,,170,255,255,,169,255,255,,
304,169,255,255,,169,255,255,,170,255,255,,169,255,255,,
305,169,255,255,,169,255,255,,170,255,255,,169,255,255,,
306,168,255,255,,169,255,255,,170,255,255,,169,255,255,,
307,168,255,255,,169,255,255,,170,255,255,,169,255,255,,
308,168,255,255,,169,255,255,,170,255,255,,169,255,255,,
309,168,255,255,,169,255,255,,170,255,255,,169,255,255,,
310,169,255,255,,169,255,255,,170,255,255,,169,255,255,,
311,169,255,255,,168,255,255,,170,255,255,,169,255,255,,
312,169,255,255,,169,255,255,,170,255,255,,169,255,255,,
313,169,255,255,,170,255,255,,170,255,255,,170,255,255,,
314,169,255,255,,170,255,255,,170,255,255,,170,255,255,,
315,169,255,255,,170,255,255,,170,255,255,,170,255,255,,
316,169,255,255,,169,255,255,,170,255,255,,170,255,255,,
317,169,255,255,,169,255,255,,170,255,255,,170,255,255,,
318,169,255,255,,169,255,255,,170,255,255,,170,255,255,,
319,169,255,255,,169,255,255,,170,255,255,,170,255,255,,
320,169,255,255,,169,255,255,,170,255,255,,170,255,255,,
321,168,255,255,,169,255,255,,170,255,255,,169,255,255,,
322,168,255,255,,169,255,255,,169,255,255,,169,255,255,,
323,168,255,255,,169,255,255,,169,255,255,,169,255,255,,
324,169,255,255,,169,255,255,,169,255,255,,169,255,255,,
325,168,255,255,,169,255,255,,170,255,255,,169,255,255,,
