frame_count,1-h,1-s,1-v,2-h,2-s,2-v,3-h,3-s,3-v,4-h,4-s,4-v
397,96,255,255,97,255,255,95,255,255,94,255,255
398,96,255,255,97,255,255,95,255,255,94,255,255
399,96,255,255,97,255,255,96,255,255,94,255,255
400,96,255,255,97,255,255,96,255,255,94,255,255
401,96,255,255,96,255,255,96,255,255,94,255,255
402,96,255,255,96,255,255,96,255,255,94,255,255
403,95,255,255,96,255,255,95,255,255,94,255,255
404,95,255,255,96,255,255,95,255,255,94,255,255
405,95,255,255,96,255,255,95,255,255,94,255,255
406,95,255,255,96,255,255,95,255,255,94,255,255
407,96,255,255,96,255,255,95,255,255,94,255,255
408,96,255,255,96,255,255,95,255,255,94,255,255
409,96,255,255,96,255,255,95,255,255,94,255,255
410,96,255,255,96,255,255,95,255,255,94,255,255
411,95,255,255,96,255,255,95,255,255,94,255,255
412,95,255,255,96,255,255,95,255,255,94,255,255
413,95,255,255,96,255,255,95,255,255,95,255,255
414,95,255,255,96,255,255,95,255,255,95,255,255
415,96,255,255,96,255,255,95,255,255,95,255,255
416,96,255,255,96,255,255,95,255,255,95,255,255
417,96,255,255,95,255,255,95,255,255,95,255,255
418,96,255,255,96,255,255,95,255,255,96,255,255
419,96,255,255,96,255,255,95,255,255,95,255,255
420,95,255,255,96,255,255,95,255,255,95,255,255
421,95,255,255,95,255,255,95,255,255,95,255,255
422,95,255,255,94,255,255,96,255,255,95,255,255
423,95,255,255,96,255,255,96,255,255,95,255,255
424,96,255,255,96,255,255,95,255,255,95,255,255
425,96,255,255,96,255,255,96,255,255,95,255,255
426,96,255,255,96,255,255,95,255,255,95,255,255
427,96,255,255,95,255,255,96,255,255,95,255,255
428,96,255,255,96,255,255,96,255,255,95,255,255
429,95,255,255,96,255,255,96,255,255,96,255,255
430,95,255,255,95,255,255,96,255,255,96,255,255
431,95,255,255,96,255,255,96,255,255,95,255,255
432,95,255,255,96,255,255,96,255,255,95,255,255
433,95,255,255,96,255,255,96,255,255,95,255,255
434,95,255,255,96,255,255,96,255,255,95,255,255
435,95,255,255,96,255,255,96,255,255,95,255,255
436,95,255,255,96,255,255,96,255,255,95,255,255
437,95,255,255,96,255,255,95,255,255,95,255,255
438,95,255,255,96,255,255,95,255,255,95,255,255
439,95,255,255,96,255,255,96,255,255,95,255,255
440,95,255,255,95,255,255,95,255,255,95,255,255
441,95,255,255,95,255,255,96,255,255,96,255,255
442,97,255,255,96,255,255,96,255,255,95,255,255
443,97,255,255,95,255,255,96,255,255,96,255,255
444,97,255,255,96,255,255,96,255,255,96,255,255
445,96,255,255,96,255,255,96,255,255,96,255,255
446,97,255,255,96,255,255,96,255,255,95,255,255
447,97,255,255,96,255,255,96,255,255,95,255,255
448,97,255,255,96,255,255,96,255,255,95,255,255
449,97,255,255,96,255,255,96,255,255,95,255,255
450,97,255,255,96,255,255,96,255,255,95,255,255
451,96,255,255,96,255,255,96,255,255,95,255,255
452,97,255,255,96,255,255,96,255,255,95,255,255
453,97,255,255,96,255,255,96,255,255,95,255,255
454,97,255,255,96,255,255,96,255,255,95,255,255
455,97,255,255,96,255,255,96,255,255,95,255,255
456,97,255,255,0,255,255,96,255,255,95,255,255
457,97,255,255,0,255,255,96,255,255,95,255,255
458,96,255,255,0,255,255,96,255,255,95,255,255
459,95,255,255,0,255,255,96,255,255,95,255,255
460,96,255,255,0,255,255,96,255,255,95,255,255
461,96,255,255,0,255,255,95,255,255,95,255,255
462,96,255,255,0,255,255,96,255,255,95,255,255
463,96,255,255,0,255,255,96,255,255,95,255,255
464,96,255,255,0,255,255,96,255,255,95,255,255
465,97,255,255,0,255,255,96,255,255,95,255,255
466,98,255,255,0,255,255,96,255,255,95,255,255
467,98,255,255,0,255,255,96,255,255,96,255,255
468,97,255,255,0,255,255,95,255,255,96,255,255
469,97,255,255,0,255,255,95,255,255,96,255,255
470,97,255,255,0,255,255,95,255,255,96,255,255
471,97,255,255,0,255,255,95,255,255,96,255,255
472,96,255,255,0,255,255,95,255,255,96,255,255
473,96,255,255,0,255,255,95,255,255,96,255,255
